--BEGIN 

Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:443            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:902            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:912            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:9510           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:9512           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:9595           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:14862          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:20807          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:26143          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49152          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49153          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49154          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49155          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49408          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49409          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49410          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49414          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49437          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49438          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:50919          0.0.0.0:0              LISTENING
  TCP    127.0.0.1:843          0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12025        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12110        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12119        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12143        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12465        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12563        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12993        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12995        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:17600        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:27275        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49660        127.0.0.1:50295        ESTABLISHED
  TCP    127.0.0.1:49668        127.0.0.1:49669        ESTABLISHED
  TCP    127.0.0.1:49669        127.0.0.1:49668        ESTABLISHED
  TCP    127.0.0.1:49683        127.0.0.1:50295        ESTABLISHED
  TCP    127.0.0.1:50295        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:50295        127.0.0.1:49660        ESTABLISHED
  TCP    127.0.0.1:50295        127.0.0.1:49683        ESTABLISHED
  TCP    127.0.0.1:62522        0.0.0.0:0              LISTENING
  TCP    192.168.1.111:139      0.0.0.0:0              LISTENING
  TCP    192.168.1.111:49424    77.234.44.35:80        ESTABLISHED
  TCP    192.168.1.111:49632    173.255.112.173:443    ESTABLISHED
  TCP    192.168.1.111:49656    108.160.172.236:443    CLOSE_WAIT
  TCP    192.168.1.111:49661    216.137.45.39:443      CLOSE_WAIT
  TCP    192.168.1.111:49663    216.137.45.39:443      CLOSE_WAIT
  TCP    192.168.1.111:49664    108.160.172.225:443    CLOSE_WAIT
  TCP    192.168.1.111:49705    91.190.216.53:12350    ESTABLISHED
  TCP    192.168.1.111:49846    65.52.0.51:5671        ESTABLISHED
  TCP    192.168.1.111:49882    137.116.74.231:443     ESTABLISHED
  TCP    192.168.1.111:49902    199.47.217.97:443      CLOSE_WAIT
  TCP    192.168.1.111:49926    54.164.136.234:443     CLOSE_WAIT
  TCP    192.168.1.111:50357    5.45.58.251:80         CLOSE_WAIT
  TCP    192.168.1.111:50432    216.137.45.39:443      CLOSE_WAIT
  TCP    192.168.1.111:50588    108.160.172.225:443    CLOSE_WAIT
  TCP    192.168.1.111:51817    216.137.45.39:443      CLOSE_WAIT
  TCP    192.168.1.111:52104    108.160.172.225:443    CLOSE_WAIT
  TCP    192.168.1.111:53114    52.0.42.46:443         CLOSE_WAIT
  TCP    192.168.1.111:53234    216.137.45.39:443      CLOSE_WAIT
  TCP    192.168.1.111:53609    108.160.172.225:443    CLOSE_WAIT
  TCP    192.168.1.111:54144    216.137.45.39:443      CLOSE_WAIT
  TCP    192.168.1.111:54261    108.160.172.225:443    CLOSE_WAIT
  TCP    192.168.1.111:54391    111.221.77.153:40023   ESTABLISHED
  TCP    192.168.1.111:54408    134.170.24.140:443     ESTABLISHED
  TCP    192.168.1.111:54414    65.52.108.197:443      ESTABLISHED
  TCP    192.168.1.111:54424    74.125.28.188:443      ESTABLISHED
  TCP    192.168.1.111:54573    54.165.75.110:443      ESTABLISHED
  TCP    192.168.1.111:55187    216.137.45.39:443      CLOSE_WAIT
  TCP    192.168.1.111:55481    209.141.120.187:443    ESTABLISHED
  TCP    192.168.1.111:55723    108.160.172.225:443    CLOSE_WAIT
  TCP    192.168.1.111:55777    52.0.42.46:443         CLOSE_WAIT
  TCP    192.168.1.111:56255    64.4.54.254:443        ESTABLISHED
  TCP    192.168.1.111:56261    209.141.120.158:443    ESTABLISHED
  TCP    192.168.1.111:56278    108.160.167.175:443    ESTABLISHED
  TCP    192.168.1.111:56305    216.137.45.39:443      CLOSE_WAIT
  TCP    192.168.1.111:56306    65.55.164.215:443      ESTABLISHED
  TCP    192.168.1.111:56442    209.141.120.181:443    ESTABLISHED
  TCP    192.168.1.111:56455    65.55.252.93:443       TIME_WAIT
